,precision,recall,f1-score,support
中性,0.773109243697479,0.736,0.7540983606557377,250.0
高兴,0.8669724770642202,0.756,0.8076923076923077,250.0
愤怒,0.7843866171003717,0.844,0.8131021194605009,250.0
悲伤,0.8214285714285714,0.92,0.8679245283018868,250.0
恐惧,0.9139344262295082,0.892,0.902834008097166,250.0
惊奇,0.9721115537848606,0.976,0.9740518962075848,250.0
accuracy,0.854,0.854,0.854,0.854
macro avg,0.8553238148841684,0.854,0.8532838700691974,1500.0
weighted avg,0.8553238148841686,0.854,0.8532838700691973,1500.0
